Month,Day,Year,BLUE MESA unregulated inflow,CRYSTAL unregulated inflow,FLAMING GORGE unregulated inflow,FONTENELLE inflow,LAKE POWELL unregulated inflow,MORROW POINT unregulated inflow,NAVAJO unregulated inflow,TAYLOR PARK inflow,VALLECITO inflow
8,1,1962,,,,,,,,,
9,1,1962,,,,,,,,,
10,1,1962,,,,,,,,,
11,1,1962,,,,,,,,,
12,1,1962,,,,,,,,,
1,1,1963,,,,,,,,,
2,1,1963,,,,,,,,,
3,1,1963,,,,,,,,,
4,1,1963,,,,,10097.40452,,,,
5,1,1963,,,,,18579.80551,,,,
6,1,1963,,,,,19326.21155,,,,
7,1,1963,,,,,6200.101372,,,,
8,1,1963,,,,,5486.800714,,,,
9,1,1963,,,,,7959.700334,,,,
10,1,1963,,,957.0775445,,4651.591875,,,68.23685098,
11,1,1963,,,860.7346427,,5928.501279,,,69.24355507,
12,1,1963,,,542.8656101,,4429.167742,,,44.38726039,
1,1,1964,,,453.3396608,,4280.693641,,,42.68507127,
2,1,1964,,,538.4985761,,4411.200669,,,43.5249622,
3,1,1964,,,679.9727331,,4682.907469,,,50.4481953,
4,1,1964,,,1949.124343,,8504.497942,,,80.74375127,
5,1,1964,,,4293.613568,,26853.60451,,,427.0657034,
6,1,1964,,,7845.016521,,37636.88359,,,490.3861104,
7,1,1964,,,5784.054565,,18048.46666,,,196.0427647,
8,1,1964,,,1389.1448,,10160.05445,,,154.9409951,
9,1,1964,,,654.1078895,,4802.258619,,,68.19183216,
10,1,1964,,,567.2471516,,4589.279056,,,67.54254273,
11,1,1964,,,600.7226668,,5916.633809,,,64.00237528,
12,1,1964,,,754.8603203,,6521.448602,,,71.18581304,
1,1,1965,,,779.725899,,6672.429307,,,72.40872918,
2,1,1965,,,1206.133396,,6913.820583,,,66.8343307,
3,1,1965,,,1180.694046,,7047.601073,,,58.96764768,
4,1,1965,,,3208.794894,,19261.81984,,,76.30646474,
5,1,1965,,,5926.758928,,44703.33102,,,455.372789,
6,1,1965,,,15469.37505,,72095.94087,,,1043.63712,
7,1,1965,,,9163.480701,,51418.02915,,,816.5007511,
8,1,1965,,,3562.211232,,19946.04201,,,336.2502983,
9,1,1965,,,1948.095671,,13528.4575,,,189.6966356,
10,1,1965,,,1869.452014,,14296.08623,,,162.4016497,
11,1,1965,,,1356.920093,990.8187937,11430.87011,,,118.2789942,
12,1,1965,,,830.5682411,657.667571,9970.443677,,,111.4551296,
1,1,1966,,,826.3217143,646.4057406,8143.262152,,,77.38798228,
2,1,1966,,,774.6223709,553.3948825,7367.970988,,,81.85412652,
