month	year	acre-ft
10	1908	15590
11	1908	7017
12	1908	5501
1	1909	5060
2	1909	6017
3	1909	14146
4	1909	33965
5	1909	81331
6	1909	87172
7	1909	41011
8	1909	23568
9	1909	19393
10	1909	15590
11	1909	7017
12	1909	5501
1	1910	5060
2	1910	6017
3	1910	14146
4	1910	33965
5	1910	81331
6	1910	87172
7	1910	41011
8	1910	23568
9	1910	19393
10	1910	13276
11	1910	7591
12	1910	7691
1	1911	5746
2	1911	6424
3	1911	19871
4	1911	46733
5	1911	93449
6	1911	99882
7	1911	86109
8	1911	32334
9	1911	19394
10	1911	36766
11	1911	11363
12	1911	7703
1	1912	6249
2	1912	5758
3	1912	11326
4	1912	26094
5	1912	121891
6	1912	112595
7	1912	56133
8	1912	25291
9	1912	13955
10	1912	10787
11	1912	7495
12	1912	6054
1	1913	4714
2	1913	4008
3	1913	6859
4	1913	32862
5	1913	72136
6	1913	58324
7	1913	25487
8	1913	13276
9	1913	21555
10	1913	17881
11	1913	8159
12	1913	5812
1	1914	7070
2	1914	7972
3	1914	31353
4	1914	43487
5	1914	105796
6	1914	149921
7	1914	76889
8	1914	21829
9	1914	14253
10	1914	26019
11	1914	11609
12	1914	6878
1	1915	6187
2	1915	10747
3	1915	16275
4	1915	57145
5	1915	100450
6	1915	117209
7	1915	77010
8	1915	23579
9	1915	14088
10	1915	12276
11	1915	3890
12	1915	3836
1	1916	7809
2	1916	7490
3	1916	42554
4	1916	54197
5	1916	99843
6	1916	122619
7	1916	65671
8	1916	54642
9	1916	16412
10	1916	72631
11	1916	8441
12	1916	7794
1	1917	9272
2	1917	7393
3	1917	10114
4	1917	44987
5	1917	98559
6	1917	156188
7	1917	94352
8	1917	31535
9	1917	14882
10	1917	13517
11	1917	7116
12	1917	6117
1	1918	5216
2	1918	5710
3	1918	10647
4	1918	18994
5	1918	64946
6	1918	83849
7	1918	28241
8	1918	17960
9	1918	31824
10	1918	8952
11	1918	3848
12	1918	3076
1	1919	2542
2	1919	4341
3	1919	11506
4	1919	52644
5	1919	116730
6	1919	74610
7	1919	51125
8	1919	29340
9	1919	18449
10	1919	11838
11	1919	6955
12	1919	5282
1	1920	5534
2	1920	17693
3	1920	23390
4	1920	36950
5	1920	173018
6	1920	186018
7	1920	73828
8	1920	26532
9	1920	14114
10	1920	14438
11	1920	12111
12	1920	4703
1	1921	5218
2	1921	8292
3	1921	23833
4	1921	34212
5	1921	89400
6	1921	146133
7	1921	78803
8	1921	60990
9	1921	25416
10	1921	9038
11	1921	7532
12	1921	6492
1	1922	5760
2	1922	8340
3	1922	23079
4	1922	43238
5	1922	137229
6	1922	121558
7	1922	43204
8	1922	16656
9	1922	9947
10	1922	7743
11	1922	7200
12	1922	5723
1	1923	5145
2	1923	7150
3	1923	11229
4	1923	32541
5	1923	92863
6	1923	101041
7	1923	47911
8	1923	36752
9	1923	23934
10	1923	20252
11	1923	11921
12	1923	8308
1	1924	6314
2	1924	6553
3	1924	8951
4	1924	44696
5	1924	88094
6	1924	85911
7	1924	26506
8	1924	10343
9	1924	7518
10	1924	8409
11	1924	3625
12	1924	3496
1	1925	4640
2	1925	3708
3	1925	9262
4	1925	29930
5	1925	77722
6	1925	58528
7	1925	44417
8	1925	22999
9	1925	56453
10	1925	21974
11	1925	12786
12	1925	8558
1	1926	3645
2	1926	5170
3	1926	14754
4	1926	44803
5	1926	84135
6	1926	91684
7	1926	42286
8	1926	20455
9	1926	14133
10	1926	13271
11	1926	5166
12	1926	9028
1	1927	5125
2	1927	5779
3	1927	20158
4	1927	45729
5	1927	113873
6	1927	118265
7	1927	78083
8	1927	25909
9	1927	74492
10	1927	21636
11	1927	15958
12	1927	7051
1	1928	6331
2	1928	5065
3	1928	15862
4	1928	23625
5	1928	79073
6	1928	54974
7	1928	21553
8	1928	10767
9	1928	10340
10	1928	10270
11	1928	9669
12	1928	7056
1	1929	5352
2	1929	5416
3	1929	17846
4	1929	42858
5	1929	102995
6	1929	94519
7	1929	45421
8	1929	60853
9	1929	44786
10	1929	22228
11	1929	7096
12	1929	4274
1	1930	2212
2	1930	4600
3	1930	9402
4	1930	35750
5	1930	57115
6	1930	58074
7	1930	30766
8	1930	29880
9	1930	10910
10	1930	13796
11	1930	4590
12	1930	5650
1	1931	3823
2	1931	3575
3	1931	4505
4	1931	15739
5	1931	61280
6	1931	62597
7	1931	38806
8	1931	28854
9	1931	28493
10	1931	24106
11	1931	6993
12	1931	5829
1	1932	5776
2	1932	9285
3	1932	23126
4	1932	59033
5	1932	129498
6	1932	120765
7	1932	61500
8	1932	55967
9	1932	31336
10	1932	13579
11	1932	1692
12	1932	3334
1	1933	4537
2	1933	4143
3	1933	5742
4	1933	11299
5	1933	46754
6	1933	88647
7	1933	43512
8	1933	27587
9	1933	30051
10	1933	10381
11	1933	3550
12	1933	4504
1	1934	4960
2	1934	3836
3	1934	5128
4	1934	15103
5	1934	18859
6	1934	16724
7	1934	14694
8	1934	15480
9	1934	15784
10	1934	9351
11	1934	235
12	1934	2125
1	1935	3202
2	1935	4618
3	1935	9151
4	1935	35355
5	1935	65981
6	1935	163177
7	1935	62075
8	1935	35747
9	1935	22645
10	1935	10649
11	1935	3990
12	1935	4073
1	1936	3868
2	1936	4256
3	1936	13630
4	1936	51169
5	1936	90799
6	1936	45361
7	1936	22391
8	1936	31716
9	1936	21934
10	1936	10302
11	1936	5026
12	1936	4392
1	1937	3819
2	1937	4256
3	1937	12445
4	1937	68186
5	1937	125358
6	1937	63298
7	1937	33078
8	1937	17676
9	1937	13743
10	1937	8658
11	1937	2499
12	1937	2400
1	1938	3081
2	1938	4192
3	1938	13314
4	1938	49678
5	1938	94083
6	1938	131149
7	1938	50782
8	1938	21138
9	1938	34594
10	1938	24521
11	1938	8450
12	1938	4841
1	1939	4776
2	1939	4118
3	1939	12316
4	1939	26664
5	1939	67623
6	1939	41258
7	1939	16381
8	1939	13279
9	1939	26111
10	1939	10653
11	1939	4015
12	1939	2380
1	1940	3246
2	1940	4115
3	1940	8902
4	1940	19067
5	1940	59150
6	1940	29880
7	1940	15896
8	1940	14293
9	1940	20888
10	1940	26356
11	1940	7066
12	1940	6709
1	1941	5966
2	1941	7051
3	1941	19415
