year     PDSI   gph_nov   znw_nov   mdw_nov   sst_nov   gph_jan   znw_jan   mdw_jan   sst_jan   gph_feb   znw_feb   mdw_feb   sst_feb   swe_feb   swe_mar   gph_apr   znw_apr   mdw_apr   sst_apr   swe_apr
1949     0.53   269.457     7.922    -3.008    -1.238   322.861     1.165    -0.506    15.976   -29.375     5.247     0.836    17.081    18.100    20.040   175.666    27.631    -2.462    17.944    21.157
1950   1.1983   260.305     0.535      0.76    -1.033   305.646     6.347     3.831    16.141   119.058     6.496     4.227    17.428     8.267    18.083   148.924    27.348     0.465    18.074    21.157
1951    -1.05   242.236      0.22    -0.432     0.181   301.779     3.607    13.965    16.924    93.869     1.229    -0.712    18.034     8.775    18.114   156.728    10.668    -1.006    19.415    21.488
1952     1.22   229.177     7.718    -2.365     -2.08   217.004     -3.88     0.047    15.303    119.38      9.68     4.666    16.842    17.067    21.529   103.164    27.014    -8.776    18.083    27.588
1953   -1.385   243.924    12.194     0.127    -1.379   425.708     3.587    11.582    16.832    70.704     8.024     1.157    18.233     8.833    14.043   208.227     7.709     1.445    19.167    15.900
1954  -1.5267   270.177     3.953     0.728    -0.703   438.392     8.069     11.43    16.402    65.467     5.259     2.733    18.121     8.100    12.943   245.282     10.53     1.619    19.195    19.088
1955  -2.2033   235.113     1.297    -8.177    -2.362   403.888     6.803    13.625    16.789     -8.12     2.051     1.413    18.425     8.820    12.914   142.131     2.278     1.082    19.262    16.763
1956  -2.3117   201.844     3.205    -0.987     0.535   258.012     1.366     5.103    16.554    91.333      5.31    -3.982    17.334    14.340    20.833   127.706    10.586     0.939    18.042    22.025
1957  -3.5467   261.037     10.79      0.52      -0.7   336.376     7.791     5.631    15.335    67.669     7.122     6.721    16.305    12.700    16.400    35.087    34.064    -0.531    17.022    21.044
1958   2.5233   240.156     8.582     4.058    -4.089   311.292    -0.613     4.853    15.295    85.934    10.659     2.577    17.119    13.900    17.200    114.31    18.991    -3.453    18.325    20.744
1959  -2.2233   231.064     1.796     0.192    -2.837    377.92     7.455    11.735    16.733   104.788     5.094    -0.907    18.182     9.857    13.933   288.832     22.77    -0.378    18.994    16.811
1960    -1.87   210.123     6.191     0.427     -3.83   369.434     7.216     7.459    16.185    52.356     7.564    -1.627    18.348     7.000    11.489   116.468    27.182    -4.801    19.935    15.122
1961   -2.325   186.516     -2.81     1.607    -1.962    356.05     3.609    10.504     16.95    92.581     8.096     4.209    18.706     5.491     7.975   152.014    18.736    -3.813    20.021    11.900
1962     1.34   283.043     7.488     -0.14    -1.239   260.071     1.021    -1.638    15.259    32.118     3.744     0.054    16.674    15.218    20.158    89.523    22.046    -6.091    18.065    22.783
1963  -1.6133   223.903      5.98     0.043    -1.413   400.075     8.085    13.299    16.079    98.803     6.495     3.517    17.238     5.573    10.350   161.197    16.847     1.186    17.765    12.692
1964  -2.6383   240.533     3.985    -0.953    -2.655   398.834     6.774    14.042    15.755    34.631     2.017    -0.542    17.456     7.791     9.550   197.801    22.102     1.154    18.822    13.817
1965  -2.9867   245.307      6.72    -0.005     -2.21   260.899     0.475     5.196    16.075    84.768     8.502     2.302    17.099    17.073    19.267     38.49    32.159    -4.403     17.68    22.908
1966   3.8333   232.704       5.7     0.717    -2.419    314.46     5.067    12.984    16.108   133.524     7.992     2.309    17.448     9.518    11.664     169.5     13.27    -6.052    18.452    12.492
1967 -0.54667   273.844     2.444    -2.797    -1.186   271.851     3.553     6.752    15.775     97.75     6.747     1.069    17.181    11.310    14.600   194.037    14.708     1.989    18.532    15.758
1968 -0.36667   268.823      5.19     0.537    -1.054   264.026    -0.092     2.647    16.251    94.001      1.99     0.385    17.463     9.718    14.283   146.284    10.211     1.542     17.77    15.750
1969  0.41667   275.091     2.224    -2.137    -2.317   262.305     -6.36     4.649    16.401   111.059    10.023    -1.143    17.691    13.527    17.325   152.421    20.245    -5.279    18.917    19.292
1970   2.2917   226.936     8.498    -0.455    -3.331   357.865    -2.029     9.886    16.247    87.547     9.219     3.408    18.113    12.009    14.208    61.197    33.773    -0.293    19.222    17.642
