# Variables:
# 1 - Geopotential Height
# 2 - Zonal Wind
# 3 - Meridianal Wind
# 4 - Sea Surface Temperature 
# 
# Latitude is in degrees North
# Longitude is in degrees East
#
# Region:
# 0 - Positive correlation
# 1 - Negative correlation

SeasonStart SeasonEnd Region Variable  lat1   lat2   lon1   lon2
         10        10      1        1    45     40   -120   -115
         10        10      0        1    50     54   -170   -167
         10        10      1        2    43     45    170    175
         10        10      0        2    34     32   -111   -109
         10        10      1        3    45     40   -145   -140
         10        10      0        3    45     40   -105   -100
         10        10      1        4    30     32    160    165
         10        10      0        4   -17    -15    -95    -90        
         10        12      1        1    42     45   -115   -110
         10        12      0        1    52     58   -160   -155
         10        12      1        2    54     55.5 -119   -114
         10        12      0        2    32     34   -110   -106
         10        12      1        3    45     50   -135   -130
         10        12      0        3    42     45    -91    -88
         10        12      1        4    28     31    161    164
         10        12      0        4    46     49   -166   -163
         10         1      1        1    38     40   -111   -109
         10         1      0        1   -21    -23    175    179
         10         1      1        2    72     74    126    128
         10         1      0        2    28     31   -119   -116
         10         1      1        3    38     42   -90    -85
         10         1      0        3    66     68    108    105
         10         1      1        4    25     28    160    163
         10         1      0        4    46     48   -167   -164
          2         3      1        1    40     42    135    140
          2         3      0        1    65     70    160    165
          3         3      1        2    56     58    172    176
          3         3      0        2    25     30    155    160
          3         3      1        3    10     12   -177   -174
          3         3      0        3    56     60    142    144
          1         3      1        4    24.5   26    158    162
          1         3      0        4    48     51   -165   -160
