id, shefpc, bwmon, bhyr, ehyr, ewmon, cdate, vdate, source, ftype, dist, e95, e90, e75, e70, e50, e30, e25, e10, e05, poval, 
GJNC2,QCSFAZZ,7,,,10,2011-07-01,2011-07-01,ESP,N,empirical,0,0,0,0,0,0,0,0,0,0,
GJNC2,QCSFAZZ,7,,,10,2011-06-06,2011-06-01,ESP,N,empirical,0,0,0,0,0,0,0,0,0,0,
GJNC2,QCSFAZZ,7,,,10,2011-06-01,2011-06-01,ESP,N,empirical,0,0,0,0,0,0,0,0,0,0,
GJNC2,QCMFAZZ,9,,,10,2011-06-01,2011-06-01,COORD,F,,0,1420,,,1200,,,1000,0,,
GJNC2,QCMFAZZ,7,,,10,2011-06-01,2011-06-01,COORD,F,,0,2160,,,1940,,,1740,0,,
GJNC2,QCSFAZZ,7,,,10,2011-05-16,2011-05-01,ESP,N,empirical,0,0,0,0,0,0,0,0,0,0,
GJNC2,QCSFAZZ,7,,,10,2011-05-09,2011-05-01,ESP,N,empirical,0,0,0,0,0,0,0,0,0,0,
GJNC2,QCMFAZZ,8,,,10,2011-05-01,2011-05-01,COORD,F,,0,2050,,,1750,,,1410,0,,
GJNC2,QCSFAZZ,7,,,10,2011-05-01,2011-05-01,ESP,N,empirical,0,0,0,0,0,0,0,0,0,0,
GJNC2,QCMFAZZ,7,,,10,2011-05-01,2011-05-01,COORD,F,,0,2270,,,1970,,,1630,0,,
GJNC2,QCSFAZZ,7,,,10,2011-04-25,2011-04-01,ESP,N,empirical,1287.932,1322.924,1398.38,1407.344,1532.336,1583.062,1706.016,1803.19890589,2112.611,0,
GJNC2,QCSFAZZ,7,,,10,2011-04-19,2011-04-01,ESP,N,empirical,1158.422,1169.594,1240.727,1277.611,1400.65,1477.61,1533.128,1730.58679774,2026.939,0,
GJNC2,QCSFAZZ,7,,,10,2011-04-06,2011-04-01,ESP,N,empirical,1255.16,1402.945,1484.748,1499.873,1595.731,1704.666,1775.002,2089.80487726,2451.415,0,
GJNC2,QCMFAZZ,7,,,10,2011-04-01,2011-04-01,COORD,F,,0,2100,,,1700,,,1280,0,,
GJNC2,QCSFAZZ,7,,,10,2011-03-31,2011-03-01,ESP,N,empirical,1338.159,1374.079,1491.201,1510.67,1583.185,1716.156,1754.728,2121.02371054,2487.982,0,
GJNC2,QCSFAZZ,7,,,10,2011-03-23,2011-03-01,ESP,N,empirical,1260.178,1377.529,1443.348,1523.366,1645.525,1797.593,1930.213,2147.72109853,2493.808,0,
GJNC2,QCSFAZZ,7,,,10,2011-03-10,2011-03-01,ESP,N,empirical,1104.488,1204.073,1371.209,1462.891,1573.397,1677.445,1802.766,2176.56432628,2349.363,0,
GJNC2,QCMFAZZ,7,,,10,2011-03-01,2011-03-01,COORD,F,,0,2300,,,1750,,,1200,0,,
GJNC2,QCSFAZZ,7,,,10,2011-02-23,2011-02-01,ESP,N,empirical,1127.27,1288.274,1469.593,1556.494,1750.929,1831.567,1956.996,2400.67877258,2960.652,0,
GJNC2,QCSFAZZ,7,,,10,2011-02-16,2011-02-01,ESP,N,empirical,1078.603,1289.728,1497.536,1615.271,1724.819,1890.712,1928.791,2349.02044407,2860.606,0,
GJNC2,QCSFAZZ,7,,,10,2011-02-02,2011-02-01,ESP,N,empirical,1150.285,1272.515,1591.814,1682.918,1823.317,1965.526,2271,2542.40500674,3268.412,0,
GJNC2,QCSFAZZ,7,,,10,2011-02-01,2011-02-01,ESP,N,empirical,1058.338,1161.09,1521.858,1540.258,1658.137,1832.034,2124.737,2390.00812234,3075.947,0,
GJNC2,QCMFAZZ,7,,,10,2011-02-01,2011-02-01,COORD,F,,0,2450,,,1700,,,1090,0,,
GJNC2,QCSFAZZ,7,,,10,2011-01-20,2011-01-01,ESP,N,empirical,1057.482,1347.898,1602.787,1704.612,1815.264,1986.639,2278.096,2571.83797773,3133.949,0,
GJNC2,QCSFAZZ,7,,,10,2011-01-12,2011-01-01,ESP,N,empirical,1039.763,1335.692,1520.094,1656.844,1780.955,2229.735,2294.096,2603.37992769,3057.073,0,
GJNC2,QCSFAZZ,7,,,10,2011-01-05,2011-01-01,ESP,N,empirical,927.606,1250.143,1417.056,1497.555,1708.821,2149.617,2285.009,2656.51240965,3053.994,0,
GJNC2,QCSFAZZ,7,,,10,2011-01-03,2011-01-01,ESP,N,empirical,1186.13,1247.496,1469.215,1477.427,1685.566,2154.254,2257.912,2706.47736149,3032.454,0,
GJNC2,QCMFAZZ,7,,,10,2011-01-01,2011-01-01,COORD,F,,0,2780,,,1900,,,1190,0,,
GJNC2,QCSFAZZ,7,,,10,2010-12-29,2010-12-01,ESP,N,empirical,0,0,0,0,0,0,0,0,1302.98,0,
GJNC2,QCSFAZZ,7,,,10,2010-12-22,2010-12-01,ESP,N,empirical,0,0,0,0,0,0,0,0,1344.072,0,
GJNC2,QCSFAZZ,7,,,10,2010-12-15,2010-12-01,ESP,N,empirical,0,0,0,0,0,0,0,0,867.543,0,
GJNC2,QCSFAZZ,7,,,10,2010-12-01,2010-12-01,ESP,N,empirical,0,0,0,0,0,0,0,0,823.424,0,
GJNC2,QCSFAZZ,7,,,10,2010-11-30,2010-11-01,ESP,N,empirical,0,0,0,0,0,0,0,0,575.111,0,
GJNC2,QCSFAZZ,7,,,10,2010-09-30,2010-09-01,ESP,N,empirical,0,0,0,0,0,0,0,0,245.968,0,
GJNC2,QCSFAZZ,7,,,10,2010-09-14,2010-09-01,ESP,N,empirical,0,0,0,0,0,0,0,0,265.606,0,
GJNC2,QCSFAZZ,7,,,10,2010-08-31,2010-08-01,ESP,N,empirical,0,0,0,0,0,0,0,0,266.791,0,
GJNC2,QCSFAZZ,7,,,10,2010-07-31,2010-07-01,ESP,N,empirical,0,0,0,0,0,0,0,0,272.365,0,
