        pdi_nov     pdi_jan    pdi_feb      pdi_apr
1949  0.5300000  1.17000000  1.9300000   1.68500000
1950  1.1983333  0.73500000  1.3066667   0.62333333
1951 -1.0500000 -1.05666667 -0.8733333  -1.18500000
1952  1.2200000  2.52333333  3.0083333   3.35500000
1953 -1.3850000 -1.36333333 -1.0783333  -1.49500000
1954 -1.5266667 -1.69833333 -1.6433333  -1.68333333
1955 -2.2033333 -2.46666667 -2.0083333  -1.84500000
1956 -2.3116667 -1.21000000 -0.5233333  -1.77833333
1957 -3.5466667 -3.23166667 -0.6800000  -0.90000000
1958  2.5233333  2.56166667  2.2733333   2.74000000
1959 -2.2233333 -2.53500000 -2.8650000  -2.15666667
1960 -1.8700000 -2.11333333 -2.2150000  -1.76166667
1961 -2.3250000 -2.45833333 -3.0016667  -2.81166667
1962  1.3400000  0.72666667  0.8450000   1.11333333
1963 -1.6133333 -2.53666667 -2.7383333  -3.17333333
1964 -2.6383333 -3.05500000 -3.3050000  -3.59000000
1965 -2.9866667  1.42166667  1.5050000   1.34000000
1966  3.8333333  4.18666667  2.9300000   0.24333333
1967 -0.5466667  0.50833333  0.4633333  -0.48666667
1968 -0.3666667  0.48333333 -0.1116667   0.03166667
1969  0.4166667  0.05666667  1.4566667   1.32166667
1970  2.2916667  0.47333333  0.4116667   0.24833333
1971  1.0600000  1.13166667  0.9500000   0.45166667
1972  1.3366667  1.74000000  0.5900000  -1.46000000
1973  1.8833333  2.57500000  2.6466667   2.86166667
1974  0.3016667  0.56166667  1.1350000  -0.23166667
1975 -1.9316667 -2.12500000 -2.0400000   0.13500000
1976 -0.4466667 -0.96500000 -1.4066667  -1.14333333
1977 -1.7266667 -2.98333333 -3.4233333  -4.36333333
1978 -4.2800000 -3.94333333 -1.3450000  -0.46333333
1979 -1.6150000  0.87666667  1.4966667   2.23500000
1980 -0.2700000 -0.53833333  1.9483333   3.06000000
1981  1.7483333 -1.12333333 -1.7066667  -2.06000000
1982  1.4866667  0.81500000  1.1933333   1.35500000
1983  3.3800000  3.57500000  3.2666667   3.76000000
1984  5.0716667  6.34000000  5.6166667   4.74500000
1985  5.3833333  3.88833333  3.5800000   2.90500000
1986  2.4916667  1.65833333  1.2033333   1.13666667
1987  2.7150000  0.42833333  0.2900000   0.42500000
1988 -0.1583333  0.24000000  0.3900000  -0.42500000
1989 -2.7583333 -2.14833333 -2.2600000  -2.30333333
1990 -3.6216667 -4.24666667 -4.3766667  -4.47666667
1991 -3.7450000 -3.38666667 -3.4350000  -3.42666667
1992 -0.8450000 -0.96333333 -1.2350000  -1.40166667
1993 -0.5416667 -0.21000000  0.8800000   2.48000000
1994  2.7066667 -0.42000000 -0.8050000  -1.10500000
1995  0.9733333  0.90500000  1.1316667   1.17000000
1996 -0.1116667 -0.95333333 -0.5533333  -0.51333333
1997  0.6516667  1.40000000  2.3700000   1.47833333
1998  3.4666667  2.45333333  2.2433333   2.46333333
1999  2.5733333  1.07333333  0.8650000  -0.34833333
2000 -0.8916667 -2.09166667 -1.9600000  -1.70666667
2001 -1.9183333 -2.00833333 -1.9850000  -2.13333333
2002 -3.6400000 -3.10833333 -3.4266667  -3.96333333
2003 -4.3000000 -3.86500000 -4.2000000  -3.52833333
2004 -4.1550000 -2.03166667 -2.0883333  -2.84000000
2005  1.6183333  1.95333333  2.9816667   3.06166667
2006  1.4633333 -0.47666667 -0.4200000  -0.13500000
2007  1.2166667 -0.80833333 -1.0133333  -1.61833333
2008 -2.1983333  0.03000000  0.5116667  -0.12166667
2009 -1.5866667 -1.22500000 -1.3100000  -1.59666667
2010 -1.8966667 -1.02833333 -0.9816667  -1.22000000
2011  0.2700000  1.40166667  0.8916667 -99.99000000
