      gph_nov znw_nov mdw_nov sst_nov  gph_jan znw_jan mdw_jan sst_jan gph_feb znw_feb mdw_feb sst_feb  gph_apr znw_apr mdw_apr sst_apr
1949 -414.860 -19.530  -5.518  -5.723 -322.861  -1.165   0.809 -15.923 204.681   5.247  -4.248 -17.006 -175.666  27.307   2.865 -18.353
1950 -278.084 -15.057  -1.434  -5.903 -305.646  -6.347  -3.257 -16.122 149.536   6.496  -1.759 -17.377 -148.924  27.301  -0.183 -18.364
1951 -335.177 -23.515  -1.663  -6.414 -301.779  -3.607 -13.220 -16.916 111.682   1.229  -1.180 -18.046 -156.728  10.223   1.685 -19.588
1952 -294.177 -17.005  -0.864  -5.348 -217.004   3.880   0.351 -15.316 186.244   9.680  -3.440 -16.791 -103.164  26.690   9.176 -18.373
1953 -444.419 -21.707 -17.629  -5.719 -425.708  -3.587 -11.053 -16.823 139.640   8.024  -1.778 -18.203 -208.227   7.365  -1.617 -19.386
1954 -401.863 -21.478  -8.880  -5.935 -438.392  -8.069 -11.222 -16.376 139.952   5.259  -1.403 -18.105 -245.282  10.410  -0.923 -19.502
1955 -436.407 -21.687 -10.449  -5.752 -403.888  -6.803 -13.298 -16.788 120.607   2.051  -0.675 -18.399 -142.131   2.144  -0.905 -19.436
1956 -381.173 -18.437  -9.133  -6.478 -258.012  -1.366  -4.778 -16.497 139.038   5.310   0.592 -17.332 -127.706  10.557  -0.454 -18.402
1957 -183.355  -7.133   4.095  -5.044 -336.376  -7.791  -5.277 -15.290 142.167   7.122  -4.680 -16.298  -35.087  33.865   0.177 -17.168
1958 -257.709 -12.188  -2.905  -3.984 -311.292   0.613  -4.437 -15.238 175.833  10.659   0.011 -17.082 -114.310  18.529   4.300 -18.795
1959 -361.673 -21.890  -7.035  -5.056 -377.920  -7.455 -11.409 -16.682 119.625   5.094   0.033 -18.167 -288.832  22.825   0.656 -19.207
1960 -336.346 -11.993 -12.537  -4.327 -369.434  -7.216  -6.797 -16.130 152.402   7.564  -1.124 -18.305 -116.468  26.744   5.512 -20.142
1961 -327.804 -16.133  -6.425  -5.080 -356.050  -3.609 -10.168 -16.921 129.391   8.096   0.390 -18.680 -152.014  18.959   4.123 -20.138
1962 -251.572 -10.355   0.038  -5.306 -260.071  -1.021   1.763 -15.200 180.223   3.744  -2.248 -16.622  -89.523  21.534   6.388 -18.331
1963 -389.437 -21.520  -9.741  -5.026 -400.075  -8.085 -12.582 -16.049 125.935   6.495   0.821 -17.229 -161.197  16.585  -0.810 -17.828
1964 -367.399 -17.118  -1.198  -4.846 -398.834  -6.774 -13.685 -15.738 136.049   2.017   0.661 -17.438 -197.801  21.634  -1.597 -19.109
1965 -363.774 -21.152 -11.985  -5.641 -260.899  -0.475  -4.942 -16.070 137.887   8.502  -3.111 -17.048  -38.490  32.137   4.958 -17.887
1966 -436.785 -24.715 -19.625  -5.105 -314.460  -5.067 -12.805 -16.072 140.263   7.992   0.370 -17.414 -169.500  12.700   6.465 -18.867
1967 -336.028  -6.105 -10.830  -5.696 -271.851  -3.553  -6.246 -15.728 140.953   6.747  -3.606 -17.150 -194.037  14.113  -1.908 -18.795
1968 -371.155 -21.348 -11.794  -6.103 -264.026   0.092  -2.264 -16.220 165.847   1.990  -7.224 -17.440 -146.284  10.334  -1.110 -18.105
1969 -289.622 -14.310  -3.648  -4.718 -262.305   6.360  -4.299 -16.375 207.955  10.023  -1.391 -17.683 -152.421  19.900   5.677 -19.251
1970 -284.313 -10.102  -6.037  -4.882 -357.865   2.029  -9.588 -16.240 174.747   9.219  -0.692 -18.115  -61.197  33.761   0.803 -19.367
1971 -211.158 -10.248   0.059  -5.711 -180.158   7.280   1.024 -15.051 179.852   8.787  -3.205 -16.457 -128.645  20.138   2.190 -18.414
