State,ST,CTY,Type,HUC,Station,Lat,Long,Elev,Sitename
colorado,8,55,SNOT,11020007,05M07S,3720,10504,10000,APISHAPA
colorado,8,49,SNOT,14010001,06J08S,4021,10622,10960,ARAPAHO RIDGE
colorado,8,49,SNOT,14010001,05K06S,3955,10545,9680,ARROW
colorado,8,69,SNOT,10190006,05J39S,4019,10539,9500,BEAR LAKE
colorado,8,107,SNOT,14050001,07J03S,4004,10701,9100,BEAR RIVER
colorado,8,79,SNOT,13010001,07M32S,3743,10731,11600,BEARTOWN
colorado,8,37,SNOT,14010003,06K45S,3935,10630,8500,BEAVER CK VILLAGE
colorado,8,49,SNOT,14010001,05K14S,3948,10547,11300,BERTHOUD SUMMIT
colorado,8,45,SNOT,14010005,07K12S,3946,10721,10880,BISON LAKE
colorado,8,65,SNOT,11020001,06K40S,3905,10632,10600,BRUMLEY
colorado,8,93,SNOT,10190001,06K16S,3918,10607,11150,BUCKSKIN JOE
colorado,8,49,SNOT,14010001,06J18S,4013,10635,9240,BUFFALO PARK
colorado,8,103,SNOT,14050005,07K02S,3953,10736,9400,BURRO MOUNTAIN
colorado,8,51,SNOT,14020001,06L11S,3854,10657,10160,BUTTE
colorado,8,111,SNOT,14080104,07M05S,3739,10748,8880,CASCADE
colorado,8,111,SNOT,14080104,07M35S,3739,10748,8920,CASCADE #2
colorado,8,103,SNOT,14050007,08K02S,3953,10836,8500,CATHEDRAL BLUFFS
colorado,8,109,SNOT,13010004,06L13S,3810,10636,10020,COCHETOPA PASS
colorado,8,57,SNOT,10180001,06J03S,4024,10636,9160,COLUMBINE
colorado,8,85,SNOT,14020005,08L02S,3825,10823,9400,COLUMBINE PASS
colorado,8,67,SNOT,14080105,08M10S,3726,10801,10785,COLUMBUS BASIN
colorado,8,13,SNOT,10190005,05J18S,4012,10534,8600,COPELAND LAKE
colorado,8,117,SNOT,14010002,06K24S,3929,10610,10500,COPPER MOUNTAIN
colorado,8,103,SNOT,14050001,07J04S,4010,10703,9100,CROSHO
colorado,8,23,SNOT,13010002,05M03S,3713,10512,10500,CULEBRA #2
colorado,8,21,SNOT,13020102,06M22S,3701,10627,10020,CUMBRES TRESTLE
colorado,8,69,SNOT,10190007,05J06S,4048,10546,10220,DEADMAN HILL
colorado,8,107,SNOT,14050001,06J01S,4032,10647,8400,DRY LAKE
colorado,8,19,SNOT,10190002,05K27S,3939,10536,10600,ECHO LAKE
colorado,8,33,SNOT,14030002,08M06S,3747,10801,10200,EL DIENTE PEAK
colorado,8,107,SNOT,14050001,06J15S,4051,10658,8700,ELK RIVER
colorado,8,117,SNOT,14010002,06K08S,3923,10612,11400,FREMONT PASS
colorado,8,119,SNOT,11020003,05L11S,3852,10504,11460,GLEN COVE
colorado,8,105,SNOT,13010002,06M21S,3728,10632,11620,GRAYBACK
