Jan Feb Mar Apr
1979 4.8 9.1 11.2 15.1
1980 4.9 10.5 13.2 17.6
1981 3.2 4.1 5.4 3.7
1982 8.8 12.8 13.4 15.6
1983 7.7 9.1 11.4 18.1
1984 13 13.5 15.8 16.8
1985 7.1 8.6 10.8 12.5
1986 7.4 8.1 11.2 12.3
1987 4.4 6 8 8.3
1988 7.4 11.4 15.3 16.8
1989 5.8 8 11 10
1990 6.6 7.7 9.6 13.9
1991 4.1 5.9 7.2 13
1992 6.1 6.8 7.7 10.7
1993 5.2 7.1 12.5 16.7
1994 4.8 7.2 9.7 12.9
1995 4.3 7 10.8 15.4
1996 7.8 13.1 17.7 21.9
1997 9.2 12.2 14.1 16
1998 4.7 8.1 10.6 12.5
1999 3.9 7.4 9.8 11.6
2000 4 7.8 11.7 14.2
2001 7.5 8.9 12.3 14
2002 6.1 8 8.5 2.2
2003 5.3 7 9.9 15.7
2004 5.4 7.4 9.5 8.3
2005 6.8 9.3 10.9 13.7
2006 9.5 12 13.6 14.6
2007 7.8 9.7 13.7 16.8
2008 7.1 10.7 13.8 18.1
2009 8.7 12.6 16 16.8
2010 2.7 4.1 7.3 8
