Colorado Basin - Percent of Average Snowpack
      JAN FEB MAR APR MAY JUN
1968  -99 93 	102 92 	115 -99	 
1969  -99 131 106 102 76  -99
1970  -99 148 131 130 165 -99
1971  -99 135 129 125 125 -99
1972  -99 121 110 98 	95  -99
1973  -99 113 88 	92 	134 -99
1974  -99 125 112 110 106 -99
1975  -99 106 106 117 125 -99
1976  -99 92  97 	95 	87  -99
1977  -99 38  40 	54 	38  -99
1978  -99 145 131 133 126 -99 
1979  -99 132 117 127 132 -99
1980  -99 126 139 139 144 -99
1981  -99 40  42 	57 	29  -99
1982  -99 145 122 121 128 -99
1983  -99 89  90  123 142 -99
1984 	-99 160 139 141 169 -99
1985 	131 108 101 101 104 -99
1986 	-99 110 127 108 124 142
1987 	80  73  70 	73 	43 	20
1988 	77  96 	97 	93 	87 	69
1989 	91  85 	96 	83 	59 	39
1990 	69  71 	71 	77 	73 	61
1991 	76  75 	71 	89 	108 62
1992 	97  81 	78 	88 	65 	15
1993 	105 102 126 124 151 145
1994 	92  84 	91  88 	85 	29
1995 	84  81 	98  103 132 321
1996 	100 131 139 131 140 98
1997 	160 161 140 118 142 146
1998 	81  92  94  89 	99 	50
1999 	65  89  89  75 	91 	99
2000 	51  79 	94  97 	84 	10
2001 	95  82 	85  86 	79 	18
2002 	72  70 	68  63 	27 	0
2003 	93  82 	93  101 105 47
2004	91  85  83  64  55  23
2005	96  102	98  98  88  73
