# start: 1971, end: 2000
BlueMesa	Crystal	Navajo	Fontenelle	FlamingGorge	LeesFerry
47910.35916	14694.96507	142703.8507	184291.1516	138228.6649	3632707.55
53496.79823	15933.65586	146468.0691	171667.4055	131525.564	3715699.24
53360.09624	14220.28501	242990.0558	163366.3008	131898.0971	3604733.764
48840.20106	15608.1509	137828.0131	193551.7848	166640.4249	4039077.391
52001.41958	15607.93874	237046.0073	151737.2099	120067.0791	3866923.884
39893.36202	12191.80098	167928.6395	163181.5618	90711.27017	3732670.676
29848.28105	11071.26428	91604.20263	80050.1783	86847.18336	3104794.447
54497.59371	15327.32414	187127.2699	178787.9429	111408.3163	3985197.875
55324.86829	14860.65626	257135.5416	162071.9134	113841.5874	4042760.659
56985.32067	16024.17824	234951.1646	158990.416	117565.3395	4073187.234
41525.65253	18560.36245	150038.526	155572.2428	118239.3557	4106279.561
36492.75398	18026.03756	221435.3641	138925.2804	120120.1662	4149981.571
45202.76559	20044.95381	251278.3396	170957.7927	111143.0357	4069382.491
41195.99053	19088.41388	232280.2631	136430.1411	109546.9081	3968028.09
50807.06728	20286.11038	204846.1611	147420.3863	123825.1926	4241757.738
52263.22985	20363.25439	198123.4966	221297.9858	158629.8871	4135893.444
54787.01381	22845.7266	216890.0881	214237.2395	159831.3942	4227403.078
63020.16472	26794.90846	196997.7443	256909.3623	207159.9048	4634527.552
59539.31352	27180.13036	203286.1204	216333.5368	170351.8455	4667652.414
50718.36551	23893.96444	198789.0666	240812.8657	179494.2054	4361746.745
61160.56617	24546.39443	226483.6839	204608.4559	145844.058	4399867.212
65754.09747	26981.85195	209561.5412	264428.879	183533.5434	4533003.59
55470.43719	20834.881	204801.8064	173025.7276	149632.1035	4330273.504
55745.20036	22529.98534	181018.8855	300700.784	199097.531	4850344.165
43349.49428	16406.31019	171089.8234	210843.8429	144271.2615	4036623.329
68136.43211	20276.03741	166053.9945	185468.439	188996.5066	4506998.712
59089.35283	16969.82873	231172.2414	187518.5547	171668.1506	4290872.45
67053.44639	19531.82711	210742.329	153460.1228	143759.0338	4405254.75
50848.36329	15596.99236	205360.3657	148569.3763	183122.07	4223505.601
62727.39192	18588.28679	141855.5293	164132.791	159132.415	4616665.041




























