# start: 1971, end: 2000
BlueMesa	Crystal	Navajo	Fontenelle	FlamingGorge	LeesFerry
38188.49	13139.02	52511.34	164065.00	120932.82	2307755.53
43836.38	14373.33	59301.71	150143.00	114754.42	2290711.00
42360.67	12664.07	51666.80	142370.00	111725.59	2127561.00
39235.10	13998.09	60502.77	172219.00	143801.93	2412062.00
41488.20	14096.84	56999.57	131377.00	99293.38	2103242.00
29769.85	10916.75	50320.38	142868.00	74052.48	2073599.00
22730.04	9762.84	44944.33	60205.00	66943.95	1605647.00
44165.05	13796.42	50775.46	157988.00	92129.12	2230151.00
44541.26	13461.17	57653.30	141526.00	93869.18	2302375.00
45899.89	14566.94	53766.36	137853.00	97004.13	2303810.00
32334.40	16456.67	59754.74	124040.20	93470.15	2254467.51
24998.21	15968.93	51480.97	108953.52	95116.16	2244086.83
33946.77	17773.53	79400.62	143967.77	91235.31	2290492.74
29940.92	17020.91	76209.08	110682.65	91623.14	2196626.38
39293.25	18221.38	70067.76	125147.41	101319.69	2381976.69
40632.14	17985.53	66953.77	204038.20	134028.28	2275179.23
43079.44	20437.45	100419.58	198901.00	133559.33	2458133.49
53331.95	24401.63	98729.68	241839.80	178908.56	2720780.21
48666.97	24774.33	116264.54	193082.60	141235.33	2752583.26
40016.07	21528.35	87039.35	217033.80	148555.97	2631266.76
49506.02	22363.16	73235.50	184522.20	116432.10	2627669.04
54721.52	24811.61	79244.35	247002.50	155802.56	2780494.19
44149.77	18672.36	66797.06	152590.90	122391.83	2375427.77
44633.01	20393.03	59629.70	280861.70	173023.50	2968841.41
31901.01	14343.41	45708.50	191275.10	120000.21	2238577.92
56972.60	18007.72	72448.18	166030.84	164926.07	2638599.61
46712.42	14684.80	50056.95	166963.59	148384.07	2285668.55
55302.39	17183.54	75355.10	133093.78	119893.95	2524765.49
37187.48	13267.81	44630.81	128243.87	159886.48	2325897.00
51361.21	16302.69	63718.76	145411.65	136030.33	2639674.31
