# start: 1906, end: 2006
BlueMesa	Crystal	Navajo	Fontenelle	FlamingGorge	LeesFerry
2320949	1674208	578134	730230	6752704	1460628
3357655	1958457	818438	834326	9298277	1174787
1848063	942494	371505	484804	4699139	1232047
3257122	2009837	821213	849167	9208168	2126329
2021334	1110586	482408	567470	5292146	1245046
1733822	1161772	385247	578403	4781825	2047683
2569485	1675425	545987	711241	6773250	1728370
2567287	1231136	513344	547955	6009259	1105793
2847264	1835003	686581	778537	7805839	1584591
1468045	961816	328081	516466	4229574	1603375
2575143	1387320	532913	714704	6525043	2112562
3151948	2162417	810223	876656	9084744	1756366
2452723	1374684	462944	621870	5912751	924973
1184863	975338	305219	507437	3780601	1408281
2431803	1644341	617614	785189	6860605	2186184
2916836	1836751	787330	819214	7911958	1716863
2782471	1182959	631690	718111	7074807	1572389
2682529	1484304	542960	757245	7228704	1454040
1501058	1019907	363920	491300	4341756	1148289
2075694	1055856	388160	605200	4992359	1197828
1642298	1166931	380580	670100	4818947	1232578
2404320	1414457	488550	578800	6317653	1981714
2210827	1545534	404030	752100	6410604	871050
1933559	2103619	508610	1297200	7310150	1665844
2040712	1127413	474200	585900	5294790	915108
901661	834941	208200	396700	2911306	727235
2018458	1452910	532230	631200	5680829	1902998
1552969	1105172	372710	572400	4282430	833369
669263	428904	140420	302800	1956841	448492
1558817	938806	299500	446700	3730465	1662911
2476570	1207916	384440	510700	5168121	1077112
1779208	1012394	520890	433900	4945099	1503055
2155855	1290909	548850	645600	5793288	1611444
1403499	995433	310640	493100	3979715	805473
925967	913634	249610	436100	3179295	692262
1682151	1075184	545640	612300	5263269	2813212
1818638	1210691	517690	709300	5487159	1447555
2457574	959903	381010	453700	5083209	867633
2053732	913422	496520	480100	5251569	1343593
1747580	1309438	394170	543700	4971993	1020698
1910273	918686	413920	435600	4301570	550735
2513024	1364759	548020	615200	6351701	871029
1731297	1228925	418590	547300	4803943	1290036
1892469	1383236	532320	618300	5934681	1509590
2853199	1003532	650280	468800	6284174	618020
2555111	1076158	359660	498200	5596451	464729
2400518	1500033	806550	724100	7681159	1664460
1526556	887807	339620	502800	4151956	619537
1486019	591551	276060	372300	3448131	642259
1199843	808643	315890	415000	3541164	602047
2187447	1099009	326500	454500	5228188	615792
2216954	1864321	531950	778500	6596945	1757307
1570032	1308703	447680	617400	5168086	1419650
1400688	909746	234660	444200	3643232	522441
1199937	1023743	304440	423500	3701764	1141069
991771	751005	272300	396200	3014355	864777
2369418	1499331	595820	694700	6720859	1035305
1375399	674879	268790	355000	3433773	612920
1814351	918835	309130	434600	4398596	589436
3097109	1401229	628390	615300	7483380	1678356
1375252	733303	381520	383700	3867249	1045374
2165058	952055	434010	416100	5285455	681167
1820007	1214644	485590	512100	5335301	962374
1861575	1174027	526860	522000	5588598	1297784
1606188	1414793	556620	596600	5260703	934798
2756601	1559022	672443	575871	6617945	659714
2916365	1005205	389297	466405	5800135	748959
2193243	1305088	562369	605241	6245159	1881998
2223224	1510147	565926	554860	5936924	524335
2315283	1303046	475185	595786	6317138	1541775
2076494	899714	404804	426089	4581546	800743
742190	417818	131167	248933	1896607	246652
2217524	1552825	536420	589253	5823045	775535
1419768	1409057	461463	595593	5074096	1989461
2182495	1379189	592235	566193	6300326	1452045
1187442	674447	302514	406146	3351212	550674
2561082	1519271	602163	629482	6556039	1268565
3466805	1666335	727619	877336	9094523	1394289
2886555	2311038	947432	1042155	8958498	1260652
1729648	1734557	582559	884343	6358320	1877007
3459596	1818837	656585	889852	8750922	1722990
1885089	867793	316206	579305	4816884	1481749
1372041	1056746	387245	586436	4150910	722287
1424848	775307	264987	410223	3415615	683117
1447966	841561	263617	351947	3504080	736597
1804797	1008170	297860	460239	4268442	889607
1210184	755153	227927	414835	3179637	983660
1977121	1429140	558554	682539	5628233	1454623
1325235	749437	262304	313489	3436293	885750
2373059	1618824	688267	697092	6777422	1378658
2256202	1690282	477608	587191	5881675	301892
2918925	2031627	732268	774714	8094613	1432905
2453416	1619206	585735	802919	7272025	834489
2611091	1197112	600221	585471	6373512	1152823
1307465	1063293	350057	445283	3872711	353956
1109204	855153	330030	430379	3689436	929260
980674	513248	167496	283991	2537605	-8541
1152478	1136568	336026	450023	3732938	365452
1337688	839001	264341	348300	3397446	743022
1961039	1297087	442602	543332	6189855	1477464
1497008	1369654	350274	559174	4763275	640940
