"Year", "BlueMesa", "Crystal", "Navajo", "Fontenelle", "FlamingGorge", "LeesFerry"
10-31-1905,28000,31900,47313,28000,26999,458528
11-30-1905,25000,29200,33552,24000,10500,401644
12-31-1905,27000,29200,25801,18000,14376,226871
01-31-1906,26000,28600,24238,18000,25831,244314
02-28-1906,22000,25500,23185,17000,32970,292534
03-31-1906,39000,46100,32935,29000,76977,678174
04-30-1906,107000,135000,166627,104000,222578,1204640
05-31-1906,334010,407010,464408,316000,480495,3635101
06-30-1906,454428,534428,431139,395400,614863,5014167
07-31-1906,213582,234582,131339,313900,424452,2950460
08-31-1906,99970,106370,59225,148200,220334,1605086
09-30-1906,61938,66038,53740,80700,114431,1503159
10-31-1906,51000,55600,37553,37400,49203,739807
11-30-1906,32000,36900,21532,40000,44439,503006
12-31-1906,27000,29200,14707,31000,45949,353312
01-31-1907,26000,28900,8101,33000,58879,356760
02-28-1907,21000,25500,11830,42000,72457,377349
03-31-1907,51000,60900,30445,75000,196583,789130
04-30-1907,119000,149000,73753,180000,351613,1465838
05-31-1907,222010,271010,161990,398000,604293,2702179
06-30-1907,533828,628828,359413,507600,834114,5967232
07-31-1907,391282,428282,277620,430900,755305,5103491
08-31-1907,151770,161770,97724,177600,259612,1920787
09-30-1907,80238,84238,49311,54500,88400,955414
10-31-1907,55200,60800,47900,44300,56707,608812
11-30-1907,33000,38100,33100,34000,33743,377467
12-31-1907,26000,27700,23600,17000,27031,268130
01-31-1908,25000,27700,25300,17000,37289,276192
02-29-1908,22000,25900,44100,18000,44419,379543
03-31-1908,36000,43000,119000,45000,114406,664762
04-30-1908,92000,115000,179000,95000,185067,1041224
05-31-1908,135010,165010,185000,218000,278041,1595614
06-30-1908,247628,292628,249629,294200,458103,2922360
07-31-1908,142882,155882,134974,197000,312951,1924283
08-31-1908,106170,114170,167344,138800,204307,1117477
09-30-1908,44638,49138,44900,46300,78715,598088
10-31-1908,36000,39000,40400,40000,71540,483627
11-30-1908,26000,30300,24100,25000,36194,395707
12-31-1908,27000,29200,18300,6000,22683,312145
01-31-1909,25000,28300,35100,27000,45364,378989
02-28-1909,21000,25000,20700,20000,57172,317458
03-31-1909,39000,46100,109000,89000,210405,763721
04-30-1909,93000,116000,261000,126000,246434,1120492
05-31-1909,361010,440010,365300,360000,555532,3349297
06-30-1909,556828,654828,449955,653800,1006801,7203254
07-31-1909,327382,358382,152337,375100,523892,4109919
08-31-1909,124970,133970,224482,182800,286331,1880422
