"Year","TaylorPark","BlueMesa","Crystal","Navajo","LeesFerry","Fontenelle","FlamingGorge"
1906,2750898,4485625,194642,1467928,2832057,2825385,644145
1907,3084584,4804478,223904,1710328,2866216,2852151,658432
1908,1653868,2853934,153054,940328,1673745,1662699,428448
1909,3209904,5171582,254061,1828528,3028450,3002934,974731
1910,1853782,3275260,148585,1215028,2353924,2377356,780969
1911,2220654,3690038,217733,1614328,2691323,2687007,824730
1912,2990400,4927754,212078,1577028,3137290,3148967,987213
1913,1833973,3319329,147334,1022328,1927143,1921635,906323
1914,3090449,4849676,200276,1583328,3241926,3240720,920108
1915,1773103,3008344,126189,924928,2156138,2155769,755075
1916,2336765,4305898,173460,1490428,2983377,3001384,1496392
1917,3019515,5020677,212411,1452128,3259233,3259094,1130521
1918,2881057,4594262,214210,1445328,2493241,2480313,362932
1919,1670170,2946009,154162,1021828,2109952,2118408,770387
1920,2857624,5036519,208024,1639728,3494731,3497541,1363427
1921,2966125,5051276,212263,1573128,3189947,3172106,1406078
1922,2066925,3786559,145746,1180028,2756924,2770610,1164907
1923,2675181,4577095,213429,1465028,2926614,2922534,952130
1924,2243967,3686279,163492,1150828,2387112,2392090,671898
1925,1894746,3246612,145597,1055528,2222975,2221884,717662
1926,2655416,4256370,172965,1054428,2401091,2397719,755869
1927,2521776,4406387,188211,1423028,2933076,2916673,1211358
1928,2884248,4670457,219499,1465955,2821042,2844066,836527
1929,2875695,4886458,235480,1644945,3618988,3603577,1339609
1930,2147205,3648415,156093,1098503,2415747,2421868,978194
1931,1296449,2194425,102745,514963,1234832,1236139,619778
1932,2123601,3903386,181185,1139632,2664099,2677579,1127073
1933,2029390,3398432,140851,923372,1931725,1927038,474162
1934,1082591,2011901,75283,483420,999074,1007729,236593
1935,1735873,3163438,145968,1008461,1938193,1937043,763476
1936,2410193,3939824,166281,1225582,2227715,2224809,776467
1937,1567581,2814788,132263,971632,1993091,1981166,899600
1938,2574102,4394909,166921,1359263,2992263,2986033,1063600
1939,1834043,2958162,125456,864153,1807505,1827042,512100
1940,1464243,2327211,81923,648418,1569684,1563262,637100
1941,1833831,3319848,131054,1209680,2974385,2947553,1686900
1942,2025445,3761476,152948,1294356,3162492,3186340,1518800
1943,1992973,3263571,157892,1175966,2231183,2229906,762900
1944,1624329,2961223,124794,1222405,2669753,2666172,1145300
1945,1920927,3336445,119801,1000971,2303558,2310166,814300
1946,1691555,2849602,110716,837053,1686600,1689066,452600
1947,2438900,4103085,168415,1282535,2408175,2395862,694000
1948,1997345,3495194,171914,1355491,2812972,2808952,964600
1949,2201531,3674849,158689,1337221,2593978,2611308,975800
1950,1644898,2839384,121094,870936,1801381,1791551,516400
1951,2275364,3484929,137764,910567,1652071,1667911,297600
1952,2863129,4728054,200415,1585664,3207616,3183224,1249900
1953,1880192,2997870,130191,929573,1777652,1797697,444500
1954,1059508,1877392,97946,557674,1144385,1145573,347200
1955,1399214,2423230,112575,680006,1482912,1474855,482400
1956,1877878,2962668,135065,837295,1577988,1588366,407100
1957,3080306,5064599,251857,1911188,3838374,3805653,1288800
1958,2010185,3306373,129012,1315254,2744134,2760244,1174200
1959,1790397,2837372,107147,747536,1416723,1429823,292800
1960,1925616,3028569,134275,949119,1793031,1792341,633200
1961,1650450,2606122,120200,829525,1609776,1601871,523600
1962,2718991,4475804,192087,1356626,2590043,2594358,709900
1963,1280286,2070601,99415,682688,1308781,1315162,380100
1964,1469628,2504549,104838,882875,1791599,1780801,463100
1965,2566642,4245705,210130,1607491,3162321,3139450,1015100
1966,1276012,2205400,119560,823791,1683134,1693761,625200
1967,1756498,2828004,135492,799950,1533704,1541100,400500
1968,1841507,3141259,139807,1019077,2168808,2169564,674400
1969,1987409,3376733,163015,1082008,2475116,2462351,771000
1970,2426609,4008271,193724,1406098,2860201,2847157,728400
1971,2493999,4017876,162810,1075075,2317160,2323987,515784
1972,2019791,3331466,137312,798903,1672950,1676341,309343
1973,2354311,3923995,144214,1073664,2733449,2734182,1345986
1974,2361769,3608756,112274,809200,2013969,2030826,508447
1975,2150349,3728943,130889,1145437,2477343,2467272,1082139
1976,1698684,2920675,122241,730243,1621556,1642898,561555
1977,1056851,1767473,59301,339618,763823,766285,199769
1978,2488170,3772707,126135,1053109,2369001,2350382,910299
1979,2438900,4060564,174204,1229213,2897899,2895056,1272660
1980,2213509,3771838,166677,1241852,2746607,2746140,1222776
1981,1259079,2191395,87143,517103,1217441,1226793,414370
1982,2246499,3802015,161121,1139463,2677199,2656525,921839
1983,2969104,5311557,162786,1266445,3552829,3536731,1654432
1984,3501302,6383001,241675,1869311,4367064,4366999,1510045
1985,2663204,5021590,192443,1415760,3557253,3560337,1459288
1986,2816018,4963428,235110,1479058,3433079,3417847,1253200
1987,1565877,2962670,172760,1108276,2746791,2782688,1268701
1988,1869525,2866228,107753,664069,1655531,1672709,599668
1989,1575670,2566975,115901,713865,1645639,1643223,534550
1990,1508247,2382260,109202,648066,1407982,1408670,370192
1991,1876472,3094841,127501,876203,2109636,2095783,608301
1992,1596766,2627244,100980,750472,2012891,2019680,781190
1993,2472817,4426638,182561,1328741,3399544,3384050,1523943
1994,1577897,2729596,126539,802589,1914915,1925637,613846
1995,2543310,4921556,258528,1687178,3906617,3889484,1169617
1996,2516059,4150121,178214,1171910,2364202,2369640,477208
1997,2942207,5067494,206825,1510866,3421886,3415978,1241280
1998,1893489,3599378,120926,917598,2370846,2382256,865719
1999,2072815,3429466,158060,1081429,2214948,2222321,817111
2000,1812963,3027452,116820,798065,1766747,1767183,552002
2001,1586105,2723113,111500,815497,1704446,1707363,546189
2002,901768,1587200,62256,367980,910834,927988,225599
2003,1987283,3134137,111096,685430,1508399,1503284,447651
2004,1315650,2269823,99687,680940,1523980,1516392,563098
2005,1944589,3556791,125164,880775,2438287,2432071,1073920
2006,2014498,3437279,122804,927886,2068492,2047475,525642
