# start: 1905 10, end: 2006 12, frequency: 12
BlueMesa	Crystal	Navajo	Fontenelle	FlamingGorge	LeesFerry
28000	31900	47313	28000	26999	458528
25000	29200	33552	24000	10500	401644
27000	29200	25801	18000	14376	226871
26000	28600	24238	18000	25831	244314
22000	25500	23185	17000	32970	292534
39000	46100	32935	29000	76977	678174
107000	135000	166627	104000	222578	1204640
334010	407010	464408	316000	480495	3635101
454428	534428	431139	395400	614863	5014167
213582	234582	131339	313900	424452	2950460
99970	106370	59225	148200	220334	1605086
61938	66038	53740	80700	114431	1503159
51000	55600	37553	37400	49203	739807
32000	36900	21532	40000	44439	503006
27000	29200	14707	31000	45949	353312
26000	28900	8101	33000	58879	356760
21000	25500	11830	42000	72457	377349
51000	60900	30445	75000	196583	789130
119000	149000	73753	180000	351613	1465838
222010	271010	161990	398000	604293	2702179
533828	628828	359413	507600	834114	5967232
391282	428282	277620	430900	755305	5103491
151770	161770	97724	177600	259612	1920787
80238	84238	49311	54500	88400	955414
55200	60800	47900	44300	56707	608812
33000	38100	33100	34000	33743	377467
26000	27700	23600	17000	27031	268130
25000	27700	25300	17000	37289	276192
22000	25900	44100	18000	44419	379543
36000	43000	119000	45000	114406	664762
92000	115000	179000	95000	185067	1041224
135010	165010	185000	218000	278041	1595614
247628	292628	249629	294200	458103	2922360
142882	155882	134974	197000	312951	1924283
106170	114170	167344	138800	204307	1117477
44638	49138	44900	46300	78715	598088
36000	39000	40400	40000	71540	483627
26000	30300	24100	25000	36194	395707
27000	29200	18300	6000	22683	312145
25000	28300	35100	27000	45364	378989
21000	25000	20700	20000	57172	317458
39000	46100	109000	89000	210405	763721
93000	116000	261000	126000	246434	1120492
361010	440010	365300	360000	555532	3349297
556828	654828	449955	653800	1006801	7203254
327382	358382	152337	375100	523892	4109919
124970	133970	224482	182800	286331	1880422
149138	159138	366400	142600	187258	1526396
72200	78200	66554	45500	73675	680646
32000	36300	40767	40000	41575	489990
27000	28900	34734	6000	24642	377548
25000	28200	42612	6000	52538	289322
22000	25500	36939	36000	92340	493565
89000	106400	139723	175000	367080	1403871
175000	220400	158355	130000	254047	1730475
318010	386910	296042	342100	481266	3298793
285828	334328	212636	268400	323218	3101705
104082	112382	65487	88800	134692	1373125
62070	77670	63802	72900	106485	866631
42838	46238	34148	32300	57785	630999
35200	37600	74752	56400	83182	616468
29000	32700	61239	39000	44059	445769
27000	29500	59311	21000	44001	345922
26000	28900	38838	47000	81327	367374
21000	25500	52036	56000	102389	482597
36000	43000	118296	97000	196738	902111
110000	137000	254590	45000	82138	951815
330010	401010	463704	32900	122452	2924637
452928	532328	505255	266500	469834	4124342
259282	284382	210213	187900	278652	2353784
111070	118870	127961	102400	151988	1016615
67838	72538	90548	40600	70311	593647
120200	132200	67791	46100	78589	1138004
46000	51500	71761	34000	55403	442055
34000	37100	46690	27000	37194	353041
29000	33200	42241	23000	42560	346041
25000	28700	39381	21000	53636	327037
42000	49100	98485	35000	73830	538143
113000	166200	243880	60000	135460	902408
363010	441810	438143	162000	278346	3684152
458128	537628	410531	584100	874607	6151096
271982	296782	181875	416400	536309	3206236
103070	110470	104016	168800	246016	1362372
57838	60538	79690	66500	109816	631542
57000	63000	36232	53000	101599	636273
29000	33400	27102	45000	80112	533066
28000	29500	26794	61000	68619	305039
25000	27600	20626	33000	55723	354040
20000	23300	24848	26000	59681	314036
30000	36200	65373	61000	131568	523341
107000	135000	141192	135000	249947	1829662
240010	291810	273273	269300	393747	3270773
231428	272128	238565	523100	656441	3144987
114882	125082	81765	361900	443309	1984477
76670	81270	43310	156200	214440	874871
61338	65438	43674	80700	122311	701627
48000	53300	61156	57000	102620	670352
38000	42200	64386	50000	68881	538369
30000	32200	47625	21000	37634	329845
26000	29200	35300	25000	58998	369539
21000	24900	28269	26000	67750	401134
47000	55300	80027	63000	156956	876055
104000	130500	211887	147000	300902	1593815
383010	465310	381662	356900	615337	4685651
435328	511128	384197	598500	805179	6296012
242782	263882	157357	319400	410951	3116693
113270	122570	89990	125300	184335	1405438
66738	71238	68893	55800	86973	783864
66200	73100	86068	36000	71517	964927
48000	54000	38597	31000	50732	527355
30000	31900	22344	24000	36782	334330
27000	30100	21660	20000	43402	304134
23000	26600	36611	18000	54052	397336
47000	54700	71993	41000	80291	525839
85000	106500	296684	71000	131388	1483872
140010	171710	340274	100000	180006	2427137
270228	318728	400317	176100	318445	3642472
141382	151382	239547	187000	239480	2147795
67370	71970	69318	94600	134443	853538
37938	40938	42457	70000	99756	528868
33000	36100	30482	61500	89370	557983
28000	32600	35057	42000	60630	411050
25000	27500	18975	35000	50254	343248
23000	24600	29163	25000	51798	393996
19000	22400	29366	28000	64903	424367
38000	44800	212423	80000	181326	1391402
108000	136000	285980	140000	254901	1802735
310010	378410	350984	247000	406281	3736188
439028	515528	433131	493900	727014	4752149
203282	221882	190935	350900	422265	2633061
148270	158670	191968	149200	191411	1931864
66838	71538	80336	60700	89406	809499
65000	72300	210098	51000	86919	1402792
38000	42600	63496	31000	48665	495715
32000	33800	34682	24000	37259	369117
23000	25800	25622	22000	31143	260297
23000	27200	24422	20000	36746	351858
29000	33800	41213	32000	66388	506892
75000	93800	222038	113000	223600	1545288
185010	226010	354078	309000	483053	3763312
564928	663528	570353	602600	957051	7772051
287482	315482	332382	628500	828353	4940893
104870	113870	94721	169700	233116	1618992
55638	59338	32713	81500	117663	822052
47200	53300	22097	52400	80803	510346
31000	34500	28497	41000	56773	448052
26000	27600	8230	32000	43351	402771
23000	25800	16121	23000	45098	356293
26000	29900	25059	21000	48409	373570
34000	39900	64226	44000	98534	655998
62000	77500	74984	93000	188477	901047
290310	353710	198237	204900	364573	2760606
496428	581428	230106	770200	935160	5393082
182282	198182	117684	278000	332554	2288860
123570	132370	62741	126400	170335	968226
86338	92338	64352	57900	85839	691873
60400	65800	17395	50700	86387	569909
34000	39200	23259	40000	54006	496385
27000	28900	30809	28000	33490	410088
20000	20900	24167	22000	31216	287188
19000	22200	25508	19000	35143	316951
36000	41800	50243	36000	68993	653288
84000	105000	230542	81000	164806	1414719
280010	341510	377934	165800	260156	3231443
214828	250728	279429	163600	238185	2597757
132782	142482	170299	57300	96904	1537304
87470	92070	112165	41500	81304	904499
47638	51638	50196	34100	62174	531938
37100	40600	25941	44000	64520	377401
34000	39000	28839	33000	47972	404787
29000	30700	33018	23000	32323	394092
25000	27600	34678	21000	39426	406940
25000	28700	67972	21000	44312	601644
44000	52200	114277	46000	110453	685472
49000	62100	217638	86000	188047	983984
435010	532110	616540	284000	465685	5917499
550228	645128	603059	514400	801095	6993901
236382	257082	290008	268100	367079	3165232
102870	110570	97949	116600	172907	1376497
55238	58538	42937	57000	91700	620527
47000	51600	36695	48000	67608	534996
39000	45200	40238	41000	51168	596367
31000	33200	24193	30000	43621	404572
29000	32500	22565	27000	53867	414071
24000	27700	31592	25000	64664	456635
35000	40500	108390	67000	142806	943676
62000	77100	125888	115000	236451	930238
285010	348610	327051	276500	519668	4180109
589928	693128	510648	751500	1115908	8467231
239882	262682	224425	205600	328180	2849389
121670	131470	220942	104200	177864	1972571
74438	79838	78596	58600	97674	953215
45200	50600	24005	46000	72027	488368
38000	42500	22445	39000	64106	417789
29000	30700	20316	34000	48089	453491
27000	30700	26433	29000	55043	351437
25000	28800	24751	25000	62472	438927
35000	40500	82785	74000	178185	907265
69000	87000	210558	90000	214853	1185878
330010	401310	446520	342200	564162	4699578
365228	428028	494079	649600	904976	5761054
126282	136882	117606	241200	328977	2159890
82070	87670	61478	131100	196506	1148518
41238	44638	29947	73900	100933	657391
27200	30100	19398	45300	74382	336581
28000	32100	37242	37000	53893	400845
24000	26400	21592	30000	43599	399832
22000	23900	22778	24000	46489	375212
21000	23800	33883	21000	45234	340452
30000	35000	43578	33000	67176	449461
69000	86800	135428	101000	230062	1316359
308010	373510	331915	351000	552991	3835398
434028	510228	342613	454400	715422	5077612
231982	255882	163985	383900	508107	3053686
134370	143570	101999	143600	208565	1744686
79638	85438	118503	64900	101296	1013539
61000	66900	67020	66000	99598	747522
45000	51200	51889	49000	63990	646295
29000	30700	40449	32000	42488	423825
27000	30700	31069	29000	45711	312564
26000	29900	32883	28000	47257	506890
32000	37500	34953	45000	107721	508913
112000	138800	220496	142000	235356	1665561
301010	366910	333145	247000	354879	3264099
357928	417628	281433	221700	253943	3780821
113882	124382	80835	127500	161504	1672022
54470	58770	42086	57400	91982	720755
32538	35038	26375	44700	63373	389827
34000	36700	20101	42000	49272	388361
33000	38000	31823	36000	47572	392567
27000	28900	13090	28000	36191	275417
25000	27600	11148	21000	37275	262125
23000	27200	15756	23000	40683	403157
40000	47900	51298	55000	130208	607575
132000	165000	137472	98000	195644	1382195
224010	274110	209884	218300	364610	2536635
209428	244528	230875	339700	446307	2860902
135982	146182	132641	322000	384963	2086524
90670	96070	89459	137900	192343	1040652
62438	66338	148613	72800	105083	1174711
48000	53000	99097	65300	81848	1020530
39000	43600	45490	45000	60539	608566
26000	27600	26095	39000	47152	447131
20000	22100	18463	37000	51863	359577
19000	21600	25752	32000	59576	353543
32000	36800	53756	61000	136383	643799
83000	103100	170266	117000	213217	1634988
236010	289010	325794	221700	339469	3546066
321728	378328	353749	203700	296103	4075706
134082	144682	79565	149800	186715	1998872
74170	79470	60937	81900	120335	966236
37238	39838	36942	49900	71490	459006
38200	41700	45451	41200	67875	461696
31000	35800	40850	35000	52120	334893
28000	30100	21053	22000	30170	379348
24000	27000	23976	26000	41671	337439
24000	27700	34245	25000	39829	388832
33000	39300	66804	40000	89363	605740
88000	110300	235248	64000	146513	1269471
355010	431510	403551	220300	398980	4135924
347428	406928	382615	503900	713627	4064755
179882	196782	273177	338400	429860	3135304
103870	112570	97635	132800	205115	1321496
105838	113938	313663	105900	145987	2116962
70000	77000	70500	73500	93497	979882
52000	59400	48600	60000	69708	739253
40000	43000	31700	39000	47312	444154
33000	38100	31700	29000	46996	469629
28000	33300	36600	22000	47454	463036
49000	58400	90400	52000	105037	754898
89000	111800	116700	72000	198758	1025978
448010	547310	250400	393800	605855	4580808
392479	461679	163341	329000	446635	4271762
181474	198074	52296	248100	321819	2241461
86950	92850	36713	141100	192183	1048281
47942	51442	23400	61000	87450	558717
37100	41600	19100	45400	57790	625418
49000	54500	32200	39000	53538	570090
24000	25800	18200	27000	36174	344257
21000	23300	15700	25000	45410	331823
20000	23300	16600	21000	50894	346061
45000	52800	73800	48000	117117	923749
83000	103000	203800	123000	211427	1698113
350010	425110	359800	182000	293200	4276260
436938	515238	317072	300400	483349	5414639
191384	211384	110217	186000	281516	2744488
167275	179775	247455	100800	173051	2389753
156838	166438	191900	70600	108769	1742400
87500	95300	79400	59100	73407	964744
53000	60700	32200	43000	59245	560310
33000	35600	17900	37000	45302	437244
23000	24600	15100	29300	44032	298790
21000	24900	28600	29300	45577	485407
29000	33800	44700	48500	116848	575245
173000	217400	187000	116000	216485	1792671
185010	226010	176700	222300	302807	2168481
285105	335405	192499	412400	537416	3724824
112520	123920	87523	244300	314307	1693721
123706	132606	101586	117700	178772	1891015
49162	52462	26000	58500	93152	691053
38000	42300	21300	78900	94789	587559
30000	34200	17300	35200	51225	423714
29000	30700	16800	28300	32007	288560
23000	26400	13800	18500	35554	263662
21000	24400	17700	20400	41971	366638
27000	31200	28500	35700	72325	429833
44000	55000	77700	55500	106965	597640
70014	85214	168000	81400	147681	1387684
112394	130894	142853	163900	183122	2042728
56547	61447	66858	72600	102800	1147598
45870	49270	45624	54500	78151	671677
25938	28538	50000	31900	41111	424426
31200	34400	66300	27600	28364	536284
30000	34700	30700	23400	31610	353321
28000	29500	19200	18900	26725	252642
23000	24600	19400	16000	36771	272930
19000	22400	59500	18900	44483	557282
27000	31900	150000	38600	96074	673831
85000	105700	384000	76600	175287	1676128
280010	341810	486500	201800	387881	4286246
320128	377328	390442	365400	574008	4193513
171821	188821	193742	274900	367325	2684942
87935	94335	118014	107600	149023	1364498
40738	43138	44900	50000	74987	693905
27000	30500	24700	38700	44788	367644
33000	37700	16900	31500	41106	378380
25000	26700	14900	23500	28404	272887
21000	23300	17900	16700	32066	273377
17000	20500	17500	18900	35506	255953
36000	41900	39700	29900	60530	501362
44000	55000	53300	55700	102727	515700
176010	216810	148600	93500	194498	1604249
341728	400628	280367	397100	622626	4680018
100326	110726	89001	169400	224673	1898288
66370	70370	45801	68400	106937	818373
34638	39038	63000	37000	57990	563832
28300	33100	40100	29600	49513	440664
30000	34500	20900	27600	37499	297779
28000	29600	17200	26700	31949	333907
23000	25200	18100	19100	28847	308075
21000	24900	17500	23500	37822	303394
32000	37200	38600	33700	47255	349072
58000	72400	94900	24700	60869	557262
125856	154656	101500	87800	82398	1480351
59174	69374	40021	75200	117169	1018245
45582	48382	40632	62300	90987	721126
46270	48270	31539	42500	59254	532811
24138	25938	28900	24900	43063	284828
18400	21300	12400	22200	38410	212899
6000	6800	12200	19100	31240	181355
24000	25800	12200	18900	22052	228772
21000	23300	13900	18400	28578	254933
17000	20500	20500	19200	37005	274011
30000	36200	50000	32000	66316	339574
48000	60600	203500	55400	107522	685733
128010	155110	313600	94000	208956	1585305
404228	474770	584918	405200	594827	4708552
147253	161556	233173	183200	249715	2255472
79832	85032	101620	75900	120043	959192
46738	49838	69400	38600	59816	594224
36400	40000	35700	25900	30157	387726
30000	33300	22200	25400	33830	319435
20000	22800	14400	18400	24521	266192
