BlueMesa,Crystal,FlamingGorge,Fontenelle,LeesFerry,Navajo
# start 1917, 1; end 2009, 12; frequency 12,,,
33786.97452,,67791.91681,32775.72497,464061.4844,30193.54711
28823.34438,,66902.27753,33312.81287,505129.416,37916.64793
55320.01305,,106279.1072,47178.74878,508550.3691,54948.71405
109579.439,,202450.8198,90624.75173,1183244.719,83659.83471
156143.699,,456647.4629,258730.5525,1903971.281,92042.24132
288625.4097,,791856.9365,602506.9109,3309135.922,105319.1207
135459.3005,,354623.4839,276435.7185,1784003.063,18027.23306
68343.54675,,114614.2001,106457.6172,545694.5068,16302.82314
47432.21014,,65042.58008,65166.41512,494500.3779,8624.350413
42956.16736,,87615.271,64548.126,587876.7988,46572.73388
36370.48358,,76644.52069,51228.31425,559121.6133,32883.84793
31190.99286,,49028.8634,36703.62846,487368.0742,31476.53554
29163.177,,62691.15567,39333.19583,483794.3408,27981.26281
23270.63745,,76523.52661,41478.91083,464209.1611,33349.62645
54587.43176,,190849.7913,89011.94148,769063.5703,66139.49752
67486.7583,,213219.1426,122158.5372,617057.6104,71848.66116
147049.5193,,431515.2954,302369.7271,1333891.75,112023.6298
215480.1189,,941409.7314,739015.4613,2800706.281,72762.58512
53821.96265,,270381.6826,239848.8839,742605.4736,-7000.839669
30622.62195,,125597.127,112836.4757,311111.5975,-8895.887603
26741.99365,,79191.34241,71995.95671,367997.0269,9320.965289
41538.59119,,89268.75525,67669.33368,979447.479,155717.5537
32461.92821,,76151.29736,52160.19164,678811.1406,63950.99504
29993.14569,,56769.53534,40079.94057,451514.1729,33974.53884
24264.30605,,62516.59607,36622.61822,412116.1494,32981.67273
21085.94675,,56032.10742,30155.95452,462583.0918,37576.83967
29061.83276,,91839.7323,37098.49485,769528.0547,114179.3058
43871.61908,,252746.0945,97796.8817,1156057.184,217859.7025
223414.999,,399061.9604,200893.7569,3796676.555,490712.6479
333128.2026,,334207.7471,225226.8372,3976874.133,451249.7653
178520.7268,,253260.1089,141798.3532,2333133.871,176742.6645
68108.81653,,106988.606,71388.98636,683717.5391,47340.81322
32843.07434,,118909.9153,74816.41059,516761.3975,37342.37355
27386.60638,,74908.63428,51823.74468,498707.5723,29617.38843
21613.49587,,71261.89307,52689.71661,501063.4863,27224.98512
24948.82211,,53731.85199,37932.73377,453194.9639,24804.17851
27419.45709,,51407.30393,35961.10949,415279.8027,24771.35207
20866.38942,,52616.86102,33668.34199,406134.6611,20441.27603
38835.5173,,142849.6563,61376.41587,737189.9463,63402.2281
66439.22473,,172936.8669,107836.8836,748402.8848,62318.87603
244105.5259,,376364.4146,229096.6822,2661610.59,131547.7289
178090.7029,,598419.8047,489936.1722,2504943.766,37872.95207
62927.83203,,220820.3242,199696.7162,1000175.699,18673.66612
43252.49121,,70073.29529,76282.38877,364069.1328,11134.43306
13013.37189,,32093.85544,36225.77625,211333.2158,-2096.707438
23751.32401,,39536.66345,36078.78143,350278.0459,24405.83802
27369.74811,,39886.59045,35155.05378,488592.0313,26801.01818
21521.86563,,20649.80481,21714.74225,335925.9937,13010.73719
23236.08011,,34305.02968,25049.87874,379651.8701,11132.37025
19506.76154,,37241.57779,25924.65928,363956.3145,16513.17025
24975.80273,,71981.75617,39085.32186,561137.3682,68446.55207
55814.03656,,91719.37964,60288.66873,712706.8516,192790.4926
193228.3994,,264555.7831,141279.8903,2142637.193,332850.1091
347994.9536,,553054.6592,314314.4561,3790492.641,413382.3471
252895.5273,,649008.6484,460103.2964,3307320.063,209807.5835
75394.86438,,130531.0544,105880.5336,714507.8906,18544.44298
27746.75452,,56548.59882,48071.69496,414802.9404,23708.58843
25623.07898,,59253.98273,49352.52819,383661.1201,14720.40992
29085.41205,,51790.12903,44839.22979,477936.3799,22206.36694
25026.24103,,54276.55664,44876.1698,432145.9414,21510.08926
24555.84799,,41878.85196,31839.29404,342768.0547,19991.42479
21671.95667,,56703.86824,30638.45546,446373.9141,33756.83306
27416.66821,,93922.53442,39191.58168,545415.7588,57649.09091
68100.93604,,191466.7107,132093.8534,662622.7061,96774.26777
155317.3423,,433316.9956,321616.7934,1768376.127,219039.3719
186038.9602,,429173.1548,365995.7904,2051973.773,178260.4165
68921.49353,,236330.1953,218187.8674,814772.5391,34029.32231
51107.41309,,128954.7067,112598.4779,421459.707,24504.65455
28164.55866,,64816.60999,53503.01331,317613.1289,42414.40661
