id, shefpc, obsdate, val, qual, 
CLSC2,QCMPBZZ,2009-09-01,-9999,,
CLSC2,QCMPBZZ,2009-08-01,-9999,,
CLSC2,QCMPBZZ,2009-07-01,104.450397,,
CLSC2,QCMPBZZ,2009-06-01,264.063492,,
CLSC2,QCMPBZZ,2009-05-01,430.708333,,
CLSC2,QCMPBZZ,2009-04-01,130.511905,,
CLSC2,QCMPBZZ,2009-03-01,46.630952,,
CLSC2,QCMPBZZ,2009-02-01,27.617063,,
CLSC2,QCMPBZZ,2009-01-01,31.244048,,
CLSC2,QCMPBZZ,2008-12-01,32.464286,,
CLSC2,QCMPBZZ,2008-11-01,32.529762,,
CLSC2,QCMPBZZ,2008-10-01,36.35119,,
CLSC2,QCMPBZZ,2008-09-01,37.789683,,
CLSC2,QCMPBZZ,2008-08-01,75.353175,,
CLSC2,QCMPBZZ,2008-07-01,190.996032,,
CLSC2,QCMPBZZ,2008-06-01,483.742063,,
CLSC2,QCMPBZZ,2008-05-01,388.172619,,
CLSC2,QCMPBZZ,2008-04-01,124.154762,,
CLSC2,QCMPBZZ,2008-03-01,40.609127,,
CLSC2,QCMPBZZ,2008-02-01,30.236111,,
CLSC2,QCMPBZZ,2008-01-01,34.15873,,
CLSC2,QCMPBZZ,2007-12-01,35.303571,,
CLSC2,QCMPBZZ,2007-11-01,32.029762,,
CLSC2,QCMPBZZ,2007-10-01,48.448413,,
CLSC2,QCMPBZZ,2007-09-01,46.472222,,
CLSC2,QCMPBZZ,2007-08-01,73.849206,,
CLSC2,QCMPBZZ,2007-07-01,80.240079,,
CLSC2,QCMPBZZ,2007-06-01,199.85119,,
CLSC2,QCMPBZZ,2007-05-01,227.611111,,
CLSC2,QCMPBZZ,2007-04-01,83.755952,,
CLSC2,QCMPBZZ,2007-03-01,66.734127,,
CLSC2,QCMPBZZ,2007-02-01,27.293651,,
CLSC2,QCMPBZZ,2007-01-01,28.926587,,
CLSC2,QCMPBZZ,2006-12-01,34.882937,,
CLSC2,QCMPBZZ,2006-11-01,46.049603,,
CLSC2,QCMPBZZ,2006-10-01,75.545635,,
CLSC2,QCMPBZZ,2006-09-01,47.162698,,
CLSC2,QCMPBZZ,2006-08-01,68.674603,,
CLSC2,QCMPBZZ,2006-07-01,86.240079,,
CLSC2,QCMPBZZ,2006-06-01,182.904762,,
CLSC2,QCMPBZZ,2006-05-01,270.152778,,
CLSC2,QCMPBZZ,2006-04-01,128.922619,,
