id, shefpc, obsdate, val, qual, 
GRNU1,QCMPBZZ,2009-09-01,-9999,,
GRNU1,QCMPBZZ,2009-08-01,-9999,,
GRNU1,QCMPBZZ,2009-07-01,284.349206,,
GRNU1,QCMPBZZ,2009-06-01,573.400794,,
GRNU1,QCMPBZZ,2009-05-01,212.539683,,
GRNU1,QCMPBZZ,2009-04-01,127.09127,,
GRNU1,QCMPBZZ,2009-03-01,62.142857,,
GRNU1,QCMPBZZ,2009-02-01,37.174603,,
GRNU1,QCMPBZZ,2009-01-01,39.509921,,
GRNU1,QCMPBZZ,2008-12-01,17.079365,,
GRNU1,QCMPBZZ,2008-11-01,46.56746,,
GRNU1,QCMPBZZ,2008-10-01,45.446429,,
GRNU1,QCMPBZZ,2008-09-01,40.027778,,
GRNU1,QCMPBZZ,2008-08-01,47.579365,,
GRNU1,QCMPBZZ,2008-07-01,187.960317,,
GRNU1,QCMPBZZ,2008-06-01,284.115079,,
GRNU1,QCMPBZZ,2008-05-01,176.537698,,
GRNU1,QCMPBZZ,2008-04-01,82.952381,,
GRNU1,QCMPBZZ,2008-03-01,58.625,,
GRNU1,QCMPBZZ,2008-02-01,33.134921,,
GRNU1,QCMPBZZ,2008-01-01,23.654762,,
GRNU1,QCMPBZZ,2007-12-01,20.902778,,
GRNU1,QCMRZZZ,2007-12-01,20.902778,,
GRNU1,QCMPBZZ,2007-11-01,32.996032,,
GRNU1,QCMRZZZ,2007-11-01,32.996032,,
GRNU1,QCMRZZZ,2007-10-01,34.950397,,
GRNU1,QCMPBZZ,2007-10-01,34.950397,,
GRNU1,QCMRZZZ,2007-09-01,22.559524,,
GRNU1,QCMPBZZ,2007-09-01,22.559524,,
GRNU1,QCMRZZZ,2007-08-01,32.045635,,
GRNU1,QCMPBZZ,2007-08-01,32.045635,,
GRNU1,QCMRZZZ,2007-07-01,41.946429,,
GRNU1,QCMPBZZ,2007-07-01,41.946429,,
GRNU1,QCMRZZZ,2007-06-01,90.47619,,
GRNU1,QCMPBZZ,2007-06-01,90.47619,,
GRNU1,QCMRZZZ,2007-05-01,164.301587,,
GRNU1,QCMPBZZ,2007-05-01,164.301587,,
GRNU1,QCMRZZZ,2007-04-01,73.327381,,
GRNU1,QCMPBZZ,2007-04-01,73.327381,,
GRNU1,QCMRZZZ,2007-03-01,118.757937,,
GRNU1,QCMPBZZ,2007-03-01,118.757937,,
GRNU1,QCMPBZZ,2007-02-01,44.53373,,
GRNU1,QCMRZZZ,2007-02-01,44.53373,,
GRNU1,QCMRZZZ,2007-01-01,33.077381,,
