id, shefpc, obsdate, val, qual, 
GBRW4,QCMRZZZ,2009-09-01,-9999,,
GBRW4,QCMRZZZ,2009-08-01,-9999,,
GBRW4,QCMRZZZ,2009-07-01,246.775794,,
GBRW4,QCMRZZZ,2009-06-01,477.553571,,
GBRW4,QCMRZZZ,2009-05-01,151.553571,,
GBRW4,QCMRZZZ,2009-04-01,91.160714,,
GBRW4,QCMRZZZ,2009-03-01,45.720238,,
GBRW4,QCMRZZZ,2009-02-01,26.545635,,
GBRW4,QCMRZZZ,2009-01-01,32.621032,,
GBRW4,QCMRZZZ,2008-12-01,29.521825,,
GBRW4,QCMRZZZ,2008-11-01,41.230159,,
GBRW4,QCMRZZZ,2008-10-01,43.210317,,
GBRW4,QCMRZZZ,2008-09-01,35.55754,,
GBRW4,QCMRZZZ,2008-08-01,46.708333,,
GBRW4,QCMRZZZ,2008-07-01,172.938492,,
GBRW4,QCMRZZZ,2008-06-01,223.940476,,
GBRW4,QCMRZZZ,2008-05-01,131.811508,,
GBRW4,QCMRZZZ,2008-04-01,53.337302,,
GBRW4,QCMRZZZ,2008-03-01,32.30754,,
GBRW4,QCMRZZZ,2008-02-01,24.619048,,
GBRW4,QCMRZZZ,2008-01-01,24.394841,,
GBRW4,QCMRZZZ,2007-12-01,27.261905,,
GBRW4,QCMRZZZ,2007-11-01,32.329365,,
GBRW4,QCMRZZZ,2007-10-01,32.734127,,
GBRW4,QCMRZZZ,2007-09-01,25.416667,,
GBRW4,QCMRZZZ,2007-08-01,34.801587,,
GBRW4,QCMRZZZ,2007-07-01,46.295635,,
GBRW4,QCMRZZZ,2007-06-01,89.142857,,
GBRW4,QCMRZZZ,2007-05-01,108.755952,,
GBRW4,QCMRZZZ,2007-04-01,49.470238,,
GBRW4,QCMRZZZ,2007-03-01,62.444444,,
GBRW4,QCMRZZZ,2007-02-01,25.775794,,
GBRW4,QCMRZZZ,2007-01-01,26.402778,,
GBRW4,QCMRZZZ,2006-12-01,28.751984,,
GBRW4,QCMRZZZ,2006-11-01,39.690476,,
GBRW4,QCMRZZZ,2006-10-01,41.003968,,
GBRW4,QCMRZZZ,2006-09-01,28.740079,,
GBRW4,QCMRZZZ,2006-08-01,34.646825,,
GBRW4,QCMRZZZ,2006-07-01,85.702381,,
GBRW4,QCMRZZZ,2006-06-01,217.140873,,
GBRW4,QCMRZZZ,2006-05-01,219.230159,,
