year    flow
1975    1250.152066
1976    763.176198
1977    433.584793
1978    725.781818
1979    1834.123636
1980    1444.889256
1981    481.769256
1982    1188.366942
1983    1435.882314
1984    1380.027769
1985    1993.247603
1986    1830.626777
1987    1922.411901
1988    736.458843
1989    813.808265
1990    704.671735
1991    1302.684298
1992    1205.389091
1993    1480.932893
1994    1328.985124
1995    1670.814545
1996    671.297851
1997    1324.323967
1998    1009.447934
1999    1082.086612
2000    734.671735
2001    773.823471
2002    539.869091
2003    507.762645
2004    679.108760
2005    1289.103471
2006    658.153388
2007    825.998678
2008    1265.057851
2009    1011.699174
