1906	18214678
1907	21234305
1908	11773952
1909	21841427
1910	14736670
1911	15125081
1912	19082127
1913	14472192
1914	21066767
1915	14137603
1916	19187542
1917	23849259
1918	15750724
1919	12951469
1920	21927976
1921	22703070
1922	18669586
1923	18343663
1924	14639094
1925	13410821
1926	16114020
1927	18551860
1928	17577859
1929	21407051
1930	15283505
1931	8631719
1932	17545522
1933	12130063
1934	6627514
1935	12280022
1936	14485382
1937	14161753
1938	17920064
1939	11718056
1940	9380279
1941	18319340
1942	19428259
1943	13624479
1944	15512509
1945	13912713
1946	11062728
1947	15916279
1948	15880189
1949	16662172
1950	13317921
1951	12485833
1952	20900043
1953	11204001
1954	8368141
1955	9795470
1956	11505097
1957	20159803
1958	16899937
1959	9232537
1960	11974847
1961	9247778
1962	17769350
1963	9259450
1964	10801202
1965	18866401
1966	11622229
1967	11808474
1968	13508237
1969	14849712
1970	15344263
1971	15350751
1972	12591330
1973	19513823
1974	13498943
1975	17025092
1976	11432786
1977	5557982
1978	15097736
1979	18042373
1980	17666911
1981	8757039
1982	16703560
1983	24417947
1984	25227353
1985	21192665
1986	22592429
1987	16920748
1988	11808529
1989	10129423
1990	9280319
1991	12302645
1992	11003611
1993	18140201
1994	10661232
1995	20146699
1996	14527288
1997	21156763
1998	17161029
1999	16688885
2000	11029918
2001	11027306
2002	6204516
2003	10479773
2004	9410833
2005	16849487
2006	12515241
2007	11935380
